Year1,Theme1,Year2,Theme2,SetCount1,SetCount2,NormalizedDiff,Diff
1950,Basic Set,1958,Basic Set,1,1,50,0
1950,Basic Set,1959,Basic Set,1,1,50,0
1950,Basic Set,1965,Basic Set,1,2,49,-1
1950,Basic Set,1967,Basic Set,1,1,50,0
1950,Basic Set,1968,Basic Set,1,1,50,0
1950,Basic Set,1969,Basic Set,1,2,49,-1
1950,Basic Set,1973,Basic Set,1,1,50,0
1950,Basic Set,1974,Basic Set,1,1,50,0
1950,Basic Set,1976,Basic Set,1,1,50,0
1950,Basic Set,1977,Basic Set,1,1,50,0
1950,Basic Set,1980,Basic Set,1,1,50,0
1950,Basic Set,1981,Basic Set,1,1,50,0
1950,Basic Set,1982,Basic Set,1,3,49,-2
1950,Basic Set,1983,Basic Set,1,5,47,-4
1950,Basic Set,1984,Basic Set,1,4,48,-3
1950,Basic Set,1985,Basic Set,1,1,50,0
1950,Basic Set,1986,Basic Set,1,1,50,0
1950,Basic Set,1987,Basic Set,1,1,50,0
1950,Basic Set,1988,Basic Set,1,1,50,0
1950,Basic Set,1991,Basic Set,1,1,50,0
1950,Basic Set,1992,Basic Set,1,2,49,-1
1950,Basic Set,1993,Basic Set,1,2,49,-1
1950,Basic Set,1994,Basic Set,1,1,50,0
1950,Basic Set,1995,Basic Set,1,1,50,0
1950,Basic Set,1996,Basic Set,1,1,50,0
1950,Basic Set,1997,Basic Set,1,2,49,-1
1950,Basic Set,1998,Basic Set,1,5,47,-4
1950,Basic Set,1999,Basic Set,1,1,50,0
1950,Basic Set,2001,Basic Set,1,15,40,-14
1950,Basic Set,2002,Basic Set,1,11,43,-10
1950,Basic Set,2003,Basic Set,1,11,43,-10
1950,Basic Set,2004,Basic Set,1,14,41,-13
1950,Basic Set,2005,Basic Set,1,13,41,-12
1950,Basic Set,2006,Basic Set,1,17,39,-16
1950,Basic Set,2007,Basic Set,1,9,44,-8
1950,Basic Set,2008,Basic Set,1,9,44,-8
1950,Basic Set,2009,Basic Set,1,15,40,-14
1950,Basic Set,2010,Basic Set,1,11,43,-10
1950,Basic Set,2011,Basic Set,1,4,48,-3
1950,Basic Set,2012,Basic Set,1,2,49,-1
1950,Basic Set,2013,Basic Set,1,9,44,-8
1950,Basic Set,2014,Basic Set,1,2,49,-1
1950,Basic Set,2015,Basic Set,1,6,46,-5
1950,Basic Set,2016,Basic Set,1,1,50,0
1950,Supplemental,1953,Supplemental,6,4,51,2
1950,Supplemental,1954,Supplemental,6,12,46,-6
1950,Supplemental,1955,Supplemental,6,19,41,-13
1950,Supplemental,1956,Supplemental,6,7,49,-1
1950,Supplemental,1957,Supplemental,6,6,50,0
1950,Supplemental,1958,Supplemental,6,29,34,-23
1950,Supplemental,1959,Supplemental,6,2,53,4
1950,Supplemental,1960,Supplemental,6,1,54,5
1950,Supplemental,1961,Supplemental,6,12,46,-6
1950,Supplemental,1962,Supplemental,6,8,49,-2
1950,Supplemental,1963,Supplemental,6,9,48,-3
1950,Supplemental,1964,Supplemental,6,3,52,3
1950,Supplemental,1965,Supplemental,6,3,52,3
1950,Supplemental,1966,Supplemental,6,71,4,-65
1950,Supplemental,1967,Supplemental,6,6,50,0
1950,Supplemental,1968,Supplemental,6,1,54,5
1950,Supplemental,1969,Supplemental,6,37,28,-31
1950,Supplemental,1970,Supplemental,6,1,54,5
1950,Supplemental,1971,Supplemental,6,5,51,1
1950,Supplemental,1972,Supplemental,6,7,49,-1
1950,Supplemental,1973,Supplemental,6,12,46,-6
1950,Supplemental,1974,Supplemental,6,1,54,5
1950,Supplemental,1976,Supplemental,6,2,53,4
1950,Supplemental,1977,Supplemental,6,1,54,5
1950,Supplemental,1978,Supplemental,6,8,49,-2
1950,Supplemental,1979,Supplemental,6,6,50,0
1950,Supplemental,1980,Supplemental,6,20,40,-14
1950,Supplemental,1981,Supplemental,6,1,54,5
1950,Supplemental,1982,Supplemental,6,3,52,3
1950,Supplemental,1983,Supplemental,6,6,50,0
1950,Supplemental,1984,Supplemental,6,3,52,3
1950,Supplemental,1985,Supplemental,6,5,51,1
1950,Supplemental,1986,Supplemental,6,23,38,-17
1950,Supplemental,1987,Supplemental,6,2,53,4
1950,Supplemental,1988,Supplemental,6,7,49,-1
1950,Supplemental,1989,Supplemental,6,1,54,5
1950,Supplemental,1990,Supplemental,6,3,52,3
1950,Supplemental,1991,Supplemental,6,5,51,1
1950,Supplemental,1992,Supplemental,6,5,51,1
1950,Supplemental,1993,Supplemental,6,3,52,3
1950,Supplemental,1994,Supplemental,6,1,54,5
1950,Supplemental,1995,Supplemental,6,4,51,2
1950,Supplemental,1996,Supplemental,6,17,42,-11
1950,Supplemental,1997,Supplemental,6,7,49,-1
1950,Supplemental,1998,Supplemental,6,4,51,2
1950,Supplemental,1999,Supplemental,6,1,54,5
1950,Supplemental,2000,Supplemental,6,8,49,-2
1950,Supplemental,2001,Supplemental,6,2,53,4
1950,Supplemental,2002,Supplemental,6,6,50,0
1950,Supplemental,2003,Supplemental,6,2,53,4
1950,Supplemental,2004,Supplemental,6,9,48,-3
1950,Supplemental,2005,Supplemental,6,17,42,-11
1950,Supplemental,2006,Supplemental,6,6,50,0
1950,Supplemental,2007,Supplemental,6,5,51,1
1950,Supplemental,2008,Supplemental,6,11,46,-5
1950,Supplemental,2009,Supplemental,6,3,52,3
1950,Supplemental,2010,Supplemental,6,10,47,-4
1950,Supplemental,2014,Supplemental,6,3,52,3
1953,Supplemental,1950,Supplemental,4,6,49,-2
1953,Supplemental,1954,Supplemental,4,12,44,-8
1953,Supplemental,1955,Supplemental,4,19,39,-15
1953,Supplemental,1956,Supplemental,4,7,48,-3
1953,Supplemental,1957,Supplemental,4,6,49,-2
1953,Supplemental,1958,Supplemental,4,29,32,-25
1953,Supplemental,1959,Supplemental,4,2,51,2
1953,Supplemental,1960,Supplemental,4,1,52,3
1953,Supplemental,1961,Supplemental,4,12,44,-8
1953,Supplemental,1962,Supplemental,4,8,47,-4
1953,Supplemental,1963,Supplemental,4,9,46,-5
1953,Supplemental,1964,Supplemental,4,3,51,1
1953,Supplemental,1965,Supplemental,4,3,51,1
1953,Supplemental,1966,Supplemental,4,71,2,-67
1953,Supplemental,1967,Supplemental,4,6,49,-2
1953,Supplemental,1968,Supplemental,4,1,52,3
1953,Supplemental,1969,Supplemental,4,37,26,-33
1953,Supplemental,1970,Supplemental,4,1,52,3
1953,Supplemental,1971,Supplemental,4,5,49,-1
1953,Supplemental,1972,Supplemental,4,7,48,-3
1953,Supplemental,1973,Supplemental,4,12,44,-8
1953,Supplemental,1974,Supplemental,4,1,52,3
1953,Supplemental,1976,Supplemental,4,2,51,2
1953,Supplemental,1977,Supplemental,4,1,52,3
1953,Supplemental,1978,Supplemental,4,8,47,-4
1953,Supplemental,1979,Supplemental,4,6,49,-2
1953,Supplemental,1980,Supplemental,4,20,39,-16
1953,Supplemental,1981,Supplemental,4,1,52,3
1953,Supplemental,1982,Supplemental,4,3,51,1
1953,Supplemental,1983,Supplemental,4,6,49,-2
1953,Supplemental,1984,Supplemental,4,3,51,1
1953,Supplemental,1985,Supplemental,4,5,49,-1
1953,Supplemental,1986,Supplemental,4,23,36,-19
