Year,ThemeName,NoOfReleasedSets
1950,Supplemental,6
1950,Basic Set,1
1953,Supplemental,4
1954,Supplemental,12
1954,Town Plan,1
1955,Supplemental,19
1955,Town Plan,6
1955,Mosaic,1
1956,Supplemental,7
1956,Town Plan,4
1957,Town Plan,8
1957,Supplemental,6
1957,HO 1:87 Vehicles,1
1958,Supplemental,29
1958,Town Plan,10
1958,Basic Set,1
1959,Supplemental,2
1959,Basic Set,1
1959,Town Plan,1
1960,Classic,1
1960,Supplemental,1
1961,Supplemental,12
1961,Airport,1
1961,Classic,1
1961,Harbor,1
1961,Town Plan,1
1962,Architecture,28
1962,Supplemental,8
1962,Town Plan,2
1963,Supplemental,9
1963,Traffic,2
1963,Building,1
1963,Farm,1
1964,Supplemental,3
1964,Building,2
1964,Airport,1
1964,Farm,1
1964,Fire,1
1964,Train,1
1965,Supplemental,3
1965,Basic Set,2
1965,Airport,1
1965,Building,1
1965,Classic,1
1965,Traffic,1
1966,Supplemental,71
1966,4.5V,12
1966,Building,1
1966,Jumbo Bricks,1
1966,Traffic,1
1967,Supplemental,6
1967,4.5V,4
1967,Cargo,3
1967,Traffic,2
1967,Airport,1
1967,Basic Set,1
1967,Construction,1
1967,Other,1
1968,4.5V,7
1968,Building,3
1968,Jumbo Bricks,2
1968,Basic Set,1
1968,Fire,1
1968,Harbor,1
1968,Supplemental,1
1968,Town Plan,1
1968,Traffic,1
1969,Supplemental,37
1969,4.5V,13
1969,12V,12
1969,Building,3
1969,Basic Set,2
1969,Construction,1
1970,12V,4
1970,Factory,3
1970,Gears,3
1970,4.5V,2
1970,Airport,2
1970,Fire,2
1970,Castle,1
1970,Construction,1
1970,Gas Station,1
1970,Hospital,1
1970,Supplemental,1
1970,Vehicle,1
1971,Construction,12
1971,Factory,6
1971,Building,5
1971,Supplemental,5
1971,Minitalia,4
1971,Fire,2
1971,Gas Station,2
1971,Homemaker,2
1971,4.5V,1
1971,Hospital,1
1972,4.5V,9
1972,Supplemental,7
1972,Factory,6
1972,Construction,4
1972,Airport,3
1972,Building,3
1972,Learning,2
1972,12V,1
1972,Gears,1
1972,Homemaker,1
1972,Police,1
1973,Supplemental,12
1973,Construction,9
1973,Homemaker,8
1973,Factory,4
1973,Minitalia,4
1973,Boat,3
1973,Fire,2
1973,Hospital,2
1973,Police,2
1973,Airport,1
1973,Basic Set,1
1973,Building,1
1973,Gas Station,1
1973,Space,1
1973,Technic,1
1974,Homemaker,8
1974,12V,6
1974,Building Set with People,5
1974,Construction,4
1974,Gears,4
1974,Airport,3
1974,Fire,2
1974,Basic Set,1
1974,Boat,1
1974,Building,1
1974,Gas Station,1
1974,Legoland,1
1974,Supplemental,1
1975,4.5V,6
1975,Building Set with People,5
1975,Construction,4
1975,Factory,4
1975,Hobby Sets,3
1975,Fire,2
1975,Airport,1
1975,Building,1
1975,Gears,1
1975,Harbor,1
1975,Hospital,1
1975,Police,1
1975,Space,1
1976,Building Set with People,9
1976,4.5V,8
1976,Construction,6
1976,Building,5
1976,Factory,5
1976,Airport,4
1976,Hobby Sets,4
1976,Hospital,3
1976,Boat,2
1976,Police,2
1976,Supplemental,2
1976,Basic Set,1
1976,Coast Guard,1
1976,Fire,1
1976,Harbor,1
1976,Space,1
1976,Train,1
1977,Service Packs,19
1977,Train,16
1977,Building Set with People,8
1977,Expert Builder,6
1977,Factory,6
1977,Airport,4
1977,Homemaker,3
1977,4.5V,2
1977,Ferries,2
1977,12V,1
1977,Basic Set,1
1977,Christmas,1
1977,Construction,1
1977,Duplo,1
1977,Gas Station,1
1977,Harbor,1
1977,Police,1
1977,Supplemental,1
1977,Technic,1
1978,Expert Builder,8
1978,Supplemental,8
1978,Fire,6
1978,Traffic,6
1978,Construction,5
1978,Homemaker,5
1978,4.5V,4
1978,Building Set with People,4
1978,Station,4
1978,Airport,3
1978,Hospital,3
1978,Police,3
1978,Boat,2
1978,Coast Guard,2
1978,Building,1
1978,Castle,1
1978,Christmas,1
1978,Classic Castle,1
1978,Food & Drink,1
1978,Hobby Sets,1
1978,Technic,1
1979,Classic Space,14
1979,Fabuland,12
1979,Supplemental,6
1979,Expert Builder,5
1979,Traffic,4
1979,Construction,3
1979,Homemaker,3
1979,Police,3
1979,Classic Castle,2
1979,Hobby Sets,2
1979,Hospital,2
1979,Building,1
1979,Fire,1
1979,Food & Drink,1
1979,Station,1
1979,Technic,1
1980,Supplemental,20
1980,12V,16
1980,4.5V,11
1980,Traffic,6
1980,Classic Space,5
1980,Fabuland,5
1980,Expert Builder,4
1980,Construction,2
1980,4 Juniors,1
1980,Basic Set,1
1980,Books,1
1980,Building Set with People,1
1980,Cargo,1
1980,Fire,1
1980,Food & Drink,1
1980,Hobby Sets,1
1980,Homemaker,1
1980,Hospital,1
1980,Race,1
1980,Service Packs,1
1980,Station,1
1980,Technic,1
1980,Town,1
1980,Train,1
1981,Train,13
1981,Classic Space,6
1981,Service Packs,6
1981,Fabuland,5
1981,Expert Builder,4
1981,Classic Castle,3
1981,Fire,3
1981,Hospital,3
1981,Technic,3
1981,Town,3
1981,12V,2
1981,Construction,2
1981,Police,2
1981,Station,2
1981,Basic Set,1
1981,Building,1
1981,Ferries,1
1981,Post Office,1
1981,Space,1
1981,Supplemental,1
1982,Technic,18
1982,Fabuland,15
1982,Service Packs,8
1982,Basic Set,3
1982,Boat,3
1982,Classic Space,3
1982,Post Office,3
1982,Supplemental,3
1982,Traffic,3
1982,Expert Builder,2
1982,Space,2
1982,Universal Building Set,2
1982,Building,1
1982,Farm,1
1982,Ferries,1
1982,Fire,1
1982,Homemaker,1
1982,Town,1
1982,Train,1
1983,Fabuland,7
1983,Classic Space,6
1983,Supplemental,6
1983,Basic Set,5
1983,12V,4
1983,4.5V,4
1983,Basic Model,4
1983,Traffic,3
1983,Cargo,2
1983,Police,2
1983,Service Packs,2
1983,Building,1
1983,Classic Castle,1
1983,Construction,1
1983,Expert Builder,1
1983,Fire,1
1983,Food & Drink,1
1983,Off-Road,1
1983,Riding Cycle,1
1983,Station,1
1983,Train,1
1984,Service Packs,10
1984,Classic Space,8
1984,Lion Knights,6
1984,Fabuland,5
1984,Technic,5
1984,Basic Set,4
1984,Police,4
1984,Construction,3
1984,Supplemental,3
1984,Traffic,3
1984,Airport,2
1984,Black Falcons,2
1984,Cargo,2
1984,Duplo,2
1984,Fire,2
1984,Post Office,2
1984,Station,2
1984,Castle,1
1984,Race,1
1984,Town,1
1984,Train,1
1984,Universal Building Set,1
1985,Technic,19
1985,Classic Space,12
1985,Fabuland,11
1985,Service Packs,7
1985,Supplemental,5
1985,4.5V,4
1985,Airport,4
1985,Basic,4
1985,Traffic,4
1985,Construction,3
1985,Fire,3
1985,Police,3
1985,Post Office,3
1985,Universal Building Set,3
1985,12V,2
1985,Cargo,2
1985,Race,2
1985,Train,2
1985,Basic Set,1
1985,Black Falcons,1
1985,Boat,1
1985,Building,1
1985,Coast Guard,1
1985,Easter,1
1985,Ferries,1
1985,Food & Drink,1
1985,Harbor,1
1985,Hospital,1
1985,Lion Knights,1
1985,Off-Road,1
1985,Town,1
1986,Supplemental,23
1986,Classic Space,16
1986,Service Packs,12
1986,Technic,8
1986,Basic,6
1986,Fabuland,5
1986,Arctic Technic,4
1986,Lion Knights,4
1986,Race,4
1986,Model Team,3
1986,Police,3
1986,Traffic,3
1986,Universal Building Set,3
1986,12V,2
1986,Building,2
1986,Christmas,2
1986,Construction,2
1986,Farm,2
1986,Fire,2
1986,Harbor,2
1986,Town,2
1986,Train,2
1986,4.5V,1
1986,Airport,1
1986,Basic Set,1
1986,Black Falcons,1
1986,Cargo,1
1986,Ferries,1
1986,Off-Road,1
1986,Station,1
1987,Technic,54
1987,Service Packs,46
1987,Train,14
1987,Basic,10
1987,Fabuland,8
1987,Classic Space,7
1987,Airport,5
1987,Race,5
1987,Traffic,5
1987,Futuron,4
1987,Blacktron I,3
1987,Boat,3
1987,Fire,3
1987,Lion Knights,3
